sentiment,a,b,c,user,tweet
4,1556626633,Sat Apr 18 23:37:16 PDT 2009,NO_QUERY,rahuljrark,@ryanpthompson @rmulle you are welcome 
4,1556626679,Sat Apr 18 23:37:17 PDT 2009,NO_QUERY,liznicolebarnes,"@ddlovato wow, thats awesome. i just got off a plane from noosa  are you headed for australia anytime soon? xo"
4,1556626690,Sat Apr 18 23:37:17 PDT 2009,NO_QUERY,p0pc0rn444,@ddlovato I'M SO FREAKING EXCITED RIGHT NOW! THIS SUMMER'S GONNA BE AMAZING CUZ OF YOUU! it's almost midnight but i'm FULL OF ENERGY! 
4,1556626695,Sat Apr 18 23:37:17 PDT 2009,NO_QUERY,idiosingularity,"just came from the most romantic wedding ever. the groom almost cried, which made everyone else almost cry "
4,1556626739,Sat Apr 18 23:37:19 PDT 2009,NO_QUERY,eclectic11,now where is that ? 
4,1556626756,Sat Apr 18 23:37:18 PDT 2009,NO_QUERY,Sergio_Olivares,I just had beer pong at my place and now going to bed 
4,1556626794,Sat Apr 18 23:37:19 PDT 2009,NO_QUERY,AliciaSaysHello,@ddlovato o0o0o That is so cool! Is it really nice in Germany right now? I want to go now 
4,1556626809,Sat Apr 18 23:37:21 PDT 2009,NO_QUERY,Saquaria,@iamdiddy I would definitely dance wit ya!  Diddy live &gt; http://bit.ly/BeN2t
4,1556626817,Sat Apr 18 23:37:19 PDT 2009,NO_QUERY,rihannababiboi,I love me some aaliyah . but I have never seen queen of the damned . watching it right now 
4,1556626841,Sat Apr 18 23:37:20 PDT 2009,NO_QUERY,chalky85,Holy crap! The Knights won! 3 in a row- well done boys 
4,1556626899,Sat Apr 18 23:37:20 PDT 2009,NO_QUERY,aoaaie,@arlyanagi I will. 
4,1556626927,Sat Apr 18 23:37:21 PDT 2009,NO_QUERY,SMilesThePoet,@Msphattypoo - Lmao! You too crazy. Don't insult your feet like that. 
4,1556627021,Sat Apr 18 23:37:22 PDT 2009,NO_QUERY,AngelG27,to everyone who followed me... thanks for the follow! 
4,1556627245,Sat Apr 18 23:37:26 PDT 2009,NO_QUERY,zaneology,@DaveMalby well....you win the oddest question I been tweeted all night...right after @fogfish asking if I'm tweeting from the bathtub! 
4,1556627275,Sat Apr 18 23:37:26 PDT 2009,NO_QUERY,JosephYoga,@directlee @yehudaberg  I love ur omer tips  its nice.  I want Yehuda to twitter the daily tuneups.  its quicker and faster!
4,1556627285,Sat Apr 18 23:37:27 PDT 2009,NO_QUERY,Jana1976,"@jordanknight aaaah,jordan...you?_e for real *smile*...i?? sure you??l do it  we love ya,greets from germany,j."
4,1556627363,Sat Apr 18 23:37:28 PDT 2009,NO_QUERY,jordanspopsicle,Goodnight @nkotb Have fun tonight !! Can't wait till your back in Toronto  @jordanknight stay sexy baby !!
4,1556627443,Sat Apr 18 23:37:29 PDT 2009,NO_QUERY,juveriyamir,"Still has dried silly string in her hair and all over her apartment ... sigh ... birthday festivities, here we go! "
4,1556627462,Sat Apr 18 23:37:29 PDT 2009,NO_QUERY,fist__,@tranceboy_johny okay this is the answer  #asot400
4,1556627500,Sat Apr 18 23:37:32 PDT 2009,NO_QUERY,aimshatch,had fun at the e-session today! Katie &amp; Gerald: YOU ROCK!!! 
4,1556627532,Sat Apr 18 23:37:30 PDT 2009,NO_QUERY,LikexWOAHxo,@ddlovato have fun in...Madrid i believe?  concert there right?  wish i was that lucky:p  good luck 
4,1556627646,Sat Apr 18 23:37:32 PDT 2009,NO_QUERY,eeduggan,Eating icing from the packet!!!!!!!!!    
4,1556627662,Sat Apr 18 23:37:32 PDT 2009,NO_QUERY,emma_fulham,"whoooopsies. i forgot to sign out of msn, like 4 hours ago haha. it's ok i have it under control "
4,1556627725,Sat Apr 18 23:37:33 PDT 2009,NO_QUERY,GloriadePaula,39 days to McFly! Woo hooo 
4,1556627779,Sat Apr 18 23:37:34 PDT 2009,NO_QUERY,stefunnykim,"@michanng this week, i work Tuesday, Friday, Sunday 5-closing!  but it can change...? i'd be happy to see you! "
4,1556627785,Sat Apr 18 23:37:34 PDT 2009,NO_QUERY,AdrianaLemus,@danlev Woo! Loving your new picture here. 
4,1556627787,Sat Apr 18 23:37:34 PDT 2009,NO_QUERY,AaL17,@ddlovato good luck w the trip  god bless u ;)
4,1556627859,Sat Apr 18 23:37:35 PDT 2009,NO_QUERY,emily_jeanne,is super worn out! but had an amazing time!!  i'm really sad it's over. 
4,1556627928,Sat Apr 18 23:37:36 PDT 2009,NO_QUERY,pinkdoxie,"eatign strawberries! Clo, ya found me! LOL! "
4,1556627956,Sat Apr 18 23:37:37 PDT 2009,NO_QUERY,dobror,"@MacSheikh  I know , if I get 256 I'm happy "
4,1556627973,Sat Apr 18 23:37:37 PDT 2009,NO_QUERY,InyanWicasa,"@mike_mcalli ....or a pipe  as I'm doing right now. On the porch, enjoying the cool night."
4,1556627977,Sat Apr 18 23:37:37 PDT 2009,NO_QUERY,locsei,oh boy oh boy  chinese grand prix in 20 minutes  this seems to be a wet race  so ... interesting race ahead !
4,1556627980,Sat Apr 18 23:37:37 PDT 2009,NO_QUERY,NicolaWwilts,@shaneohagan I hold the towle left and right the glowing stick ....i am good in pretending listening 
4,1556627986,Sat Apr 18 23:37:37 PDT 2009,NO_QUERY,pcheick,@margrethewivel no problem - og tillyke med det 
4,1556627999,Sat Apr 18 23:37:37 PDT 2009,NO_QUERY,ozmerica,@TicketyBooPhoto Hey awesome rock band photographer!!! I just became a Twit and found you here 
4,1556628004,Sat Apr 18 23:37:37 PDT 2009,NO_QUERY,BylliCrayone,@BossieSox  Thanks 
4,1556628039,Sat Apr 18 23:37:38 PDT 2009,NO_QUERY,russiafied,"Good day, all. Updating iPod and reading some today's newsletter "
4,1556628062,Sat Apr 18 23:37:38 PDT 2009,NO_QUERY,sammywhammmy,@Garbinaa AH! you dont know how much i miss yu. text me in the morning  or after u see this &lt;3 love you miss you a lot!
4,1556628144,Sat Apr 18 23:37:39 PDT 2009,NO_QUERY,sweetd_cali,@JoeyMcIntyre http://twitpic.com/3kb8h - Lol - I swear Jon loves to eat - but is still so slim! Lucky man 
4,1556628177,Sat Apr 18 23:37:40 PDT 2009,NO_QUERY,KellyShibari,@sylvanus Ooh...Jerry's. Best matzoh ball soup. 
4,1556628210,Sat Apr 18 23:37:40 PDT 2009,NO_QUERY,xenoslaura,needs to stop being addicted to online games...later.  http://plurk.com/p/oxxgr
4,1556628217,Sat Apr 18 23:37:41 PDT 2009,NO_QUERY,DaniToKyo,@degrassiboi LOL well I was talking about what your ex friend said and good 
4,1556628262,Sat Apr 18 23:37:41 PDT 2009,NO_QUERY,katpaps,I can hear a kettle brewing downstairs. Laterz! 
4,1556628287,Sat Apr 18 23:37:41 PDT 2009,NO_QUERY,BumbleBee_008,it's nice to know that you missed me 
4,1556628300,Sat Apr 18 23:37:45 PDT 2009,NO_QUERY,AprilFilms,@kellyshibari http://twitpic.com/3l0nb - You are so perfect! 
4,1556628313,Sat Apr 18 23:37:42 PDT 2009,NO_QUERY,jmeparrish,is home from the movies!! we didn't go bowling tonight though... anyways i saw 17 Again! it was really funny 
4,1556628364,Sat Apr 18 23:37:44 PDT 2009,NO_QUERY,JessicaHannah11,back from Sydney 
4,1556628368,Sat Apr 18 23:37:43 PDT 2009,NO_QUERY,FrugalWino,A Frugal Wino Audio Quicky Review of Baron Philippe De Rothschild Pinot Noir 2008 http://tinyurl.com/negociant. Diggin the jazz intro 
4,1556628376,Sat Apr 18 23:37:43 PDT 2009,NO_QUERY,musicnerd101,Now I'm watching What I Like About You. It's also a funny show 
4,1556628386,Sat Apr 18 23:37:43 PDT 2009,NO_QUERY,MikaylaD,can't get over how stinkin HUGE Pacific Academy is! It is CRAZY! 
4,1556628403,Sat Apr 18 23:37:46 PDT 2009,NO_QUERY,natalierojas,waking up early to drive to yosemite for hiking with friends! 
4,1556628404,Sat Apr 18 23:37:43 PDT 2009,NO_QUERY,dusselmann,LL2day: the Ukrainian alphabet  &amp; that Kiew is the Russian 'misunderstanding' of Kyjiw..
4,1556628438,Sat Apr 18 23:37:43 PDT 2009,NO_QUERY,susiemacmillan,@TonyWragg oh get over it darl - she is a sensation and will be focus of the media for some time to come 
4,1556628459,Sat Apr 18 23:37:44 PDT 2009,NO_QUERY,StarrahPenzHitz,@TRAKGIRL lol wrong spelling haha but I know you're talking about me  lol Thankszzzzz glad you like it.
4,1556628474,Sat Apr 18 23:37:47 PDT 2009,NO_QUERY,xPrincess_Danax,Looks like a good day 
4,1556628478,Sat Apr 18 23:37:44 PDT 2009,NO_QUERY,gobears1001,In-n-out quad  
4,1556628535,Sat Apr 18 23:37:45 PDT 2009,NO_QUERY,Alexa_13,"@theroser jasssonnnn, i had an awesome time today. we had some goood talks  thanks for hanging out! seee you before friday? ;)"
4,1556628628,Sat Apr 18 23:37:46 PDT 2009,NO_QUERY,carrotlove,Nothing like drinking and playing rock came until 2AM with your closest friends 
4,1556628649,Sat Apr 18 23:37:47 PDT 2009,NO_QUERY,WildSoul,is distracted by Robot Chicken.  
4,1556628652,Sat Apr 18 23:37:47 PDT 2009,NO_QUERY,azrina92,"@ddlovato wheww, spain! good luck, wish I could see you perform ;( what's  next? Indonesia, I hope  "
4,1556628662,Sat Apr 18 23:37:47 PDT 2009,NO_QUERY,sammutimer,@rebeccamezzino hey perv! he he...you can get away with it-ur a bit of a stunna hey! 
4,1556628696,Sat Apr 18 23:37:48 PDT 2009,NO_QUERY,Lani411,Tweet dreams all u tweeple!  Getting sum much needed shutteye!  Praying the weather changes its mind and its warm tomorrow! 
4,1556628703,Sat Apr 18 23:37:48 PDT 2009,NO_QUERY,GabrieleMilan,"@treybeez - Um. I definitely do. The last time he passed out: make-up, earrings, orange cone posed as his dick with his wrapped around it "
4,1556628709,Sat Apr 18 23:37:48 PDT 2009,NO_QUERY,paolajones,http://twitpic.com/3l191 - just remember.. SMILE 
4,1556628783,Sat Apr 18 23:37:49 PDT 2009,NO_QUERY,comeonnowsugar,"all showered and in my pj's, cuddling with my puppy and reading a book  FUN SATURDAY NIGHT INDEED."
4,1556628794,Sat Apr 18 23:37:49 PDT 2009,NO_QUERY,saurabhambry,Jst discovered Jango.com.. pretty neat .. nd does play exactly the kindov music u wanna hear..jst type and artists name 
4,1556628806,Sat Apr 18 23:37:49 PDT 2009,NO_QUERY,squishymatter,"@Ladybug_HUGS Ok, that is really, really cute "
4,1556628829,Sat Apr 18 23:37:50 PDT 2009,NO_QUERY,freebsdgirl,"@sylvainsf working on my bsdcan talk. you should come over sometime in the next week, i could use someone to practice it on. "
4,1556628845,Sat Apr 18 23:37:50 PDT 2009,NO_QUERY,TheBubbleGum,"Woho, im playing that boring game, you know, when you are installing sims. I got highscore! YEY! "
4,1556628870,Sat Apr 18 23:37:50 PDT 2009,NO_QUERY,asasin09,Listening to a bunch of old-school hip hop. Last.fm = win tonight 
4,1556628890,Sat Apr 18 23:37:51 PDT 2009,NO_QUERY,Kinder_Orr,@RoxanneDawn  You mean this?   http://elcirco.net/EkFluAyZlAMLlar.html
4,1556628901,Sat Apr 18 23:37:50 PDT 2009,NO_QUERY,housenbaby,"@biglittlemelody oooh, did you love it ? "
4,1556628965,Sat Apr 18 23:37:51 PDT 2009,NO_QUERY,alisonhaislip,@nerdist thanks again for the tix. and for introducing me to all the lovely blonde ladies in your life. i'm glad to be a part of them.  
4,1556629002,Sat Apr 18 23:37:52 PDT 2009,NO_QUERY,bluewindshield,what a beautiful day! Rainy and miserable. The beginings of winter have arrived 
4,1556629025,Sat Apr 18 23:37:53 PDT 2009,NO_QUERY,lilgirlbigvoice,Whew! Long one! Heading to bed to get ready for another! Hustle Hustle hustle 
4,1556629100,Sat Apr 18 23:37:54 PDT 2009,NO_QUERY,claireehenry,@c__bear I heart Twilight 
4,1556629122,Sat Apr 18 23:37:54 PDT 2009,NO_QUERY,Lau11,@theroser Are you guys going on tour in Europe too with JB?? Cause I really want to see you performing!! 
4,1556629197,Sat Apr 18 23:37:55 PDT 2009,NO_QUERY,episton,@highdigi  yep thats very true!  i never thought it that way
4,1556629205,Sat Apr 18 23:37:55 PDT 2009,NO_QUERY,STARthVader,I'm home babies. I love you all. 
4,1556629224,Sat Apr 18 23:37:56 PDT 2009,NO_QUERY,markela_batiste,@ddlovato can you folllow meee plzz 
4,1556629301,Sat Apr 18 23:37:57 PDT 2009,NO_QUERY,kennydavisjrdot,"great night @stefangilbert, @mitchblack, and @shanegrant. Thanks fo the great games of Halo  "
4,1556629323,Sat Apr 18 23:37:57 PDT 2009,NO_QUERY,alyramirez,Yay for twitterberry 
4,1556629473,Sat Apr 18 23:37:59 PDT 2009,NO_QUERY,LegitSushii,Is going to bedddd btw this is a nice quote check the attached pic if you can  http://twitpic.com/3l19b
4,1556629499,Sat Apr 18 23:38:00 PDT 2009,NO_QUERY,princessSILVANA,yesterday was so crazyy hahah 
4,1556629515,Sat Apr 18 23:38:00 PDT 2009,NO_QUERY,vanessahok,"@ddlovato whoooooa, international demi tweets... "
4,1556629520,Sat Apr 18 23:38:00 PDT 2009,NO_QUERY,leannelithium,I meant hop over not hope voer.....but I'm a complete and total douche bag so yup.  Night everyone. *wink*...IDK what the wink was for..
4,1556629556,Sat Apr 18 23:38:01 PDT 2009,NO_QUERY,joesentoso,TAG got talents.. Don't look down on us 'cos we are young 
4,1556629577,Sat Apr 18 23:38:01 PDT 2009,NO_QUERY,Julianne430,the movie &quot;17 again&quot; was realllly cute 
4,1556629684,Sat Apr 18 23:38:03 PDT 2009,NO_QUERY,Mortifyd,@neverseeland I could probably arrange that 
4,1556629717,Sat Apr 18 23:38:03 PDT 2009,NO_QUERY,curtfrieden,@Timmy79 LOL... I guess you could say that 
4,1556629748,Sat Apr 18 23:38:03 PDT 2009,NO_QUERY,Dogfessions,"@keeponwagging Big dogs may be too cool for clothes, but what about fancy sunglasses? "
4,1556646107,Sat Apr 18 23:42:17 PDT 2009,NO_QUERY,amolsarva,Take my special Peek quiz...: Quiz me It's made for the Radio Shack store staff  Kind of dull. http://ping.fm/4tT2R
4,1556646131,Sat Apr 18 23:42:17 PDT 2009,NO_QUERY,ibTed,"I did it! One full day away from Twitter, I had to make sure I wasn't addicted! "
4,1556646133,Sat Apr 18 23:42:18 PDT 2009,NO_QUERY,HoneyLust,@pinkiecharm Irene I just ordered from Best Bath Store I had to loved everything you showed 
4,1556646186,Sat Apr 18 23:42:18 PDT 2009,NO_QUERY,ikilledhaley,@beppaKILLS i will for round 6!! 
4,1556646265,Sat Apr 18 23:42:20 PDT 2009,NO_QUERY,careymay,@tnthresher yep. Still hate you. And I mean that with all my heart. 
4,1556646332,Sat Apr 18 23:42:21 PDT 2009,NO_QUERY,FashionistaMMC,Good night and tweet tight! 
4,1556646344,Sat Apr 18 23:42:21 PDT 2009,NO_QUERY,ClaireDel,@audaciousgloop  That is very cool! 
4,1556646388,Sat Apr 18 23:42:21 PDT 2009,NO_QUERY,xxamandaa,"@ddlovato could i please get a shout out or anything, i'm a huge fan i can't wait for your new cd "
4,1556646397,Sat Apr 18 23:42:24 PDT 2009,NO_QUERY,alyssayellow,@ddlovato looks like you're enjoying  good luck in everything!
4,1556646401,Sat Apr 18 23:42:22 PDT 2009,NO_QUERY,SpicyBubbles,better go to bed already. night my presidents! 
4,1556646440,Sat Apr 18 23:42:22 PDT 2009,NO_QUERY,KellyShibari,@mossbeep Thank you so much 
4,1556646492,Sat Apr 18 23:42:23 PDT 2009,NO_QUERY,RobbieRighteous,i went pee and am making some tacquitos 
4,1556646502,Sat Apr 18 23:42:23 PDT 2009,NO_QUERY,skconner,"@ckconner Hmm, SkipBo and dirty martini's and I promise to make the drive up.  "
4,1556646536,Sat Apr 18 23:42:26 PDT 2009,NO_QUERY,zhaoyun1221,masturbating currently 
4,1556646581,Sat Apr 18 23:42:24 PDT 2009,NO_QUERY,KingdomGeek,@kristarella I can't be bothered to find images for most blog posts I make. It's time consuming enough to write 'em. 
4,1556646634,Sat Apr 18 23:42:25 PDT 2009,NO_QUERY,OhMyChristine,@retzels I watched it today at my friend's house and it reminded me of yesterday when I watched 17 Again. 
4,1556646650,Sat Apr 18 23:42:25 PDT 2009,NO_QUERY,1cutechicwitfm,@OneLuvGurl hmm that would be a cool change I suppose 
4,1556646679,Sat Apr 18 23:42:25 PDT 2009,NO_QUERY,RejectedSoul,Drunk @ beauty bar  good times will insue. Is that right? Insue? I can't think right now.
4,1556646688,Sat Apr 18 23:42:25 PDT 2009,NO_QUERY,Erock808,"@SlyEds808 Nah, it's all good! But big props for following my small kine &quot;almost&quot; action! LOL "
4,1556646722,Sat Apr 18 23:42:26 PDT 2009,NO_QUERY,jamiewhincup,"how good was that, 2 from 2 and looking forward to an alcoholic beverage "
4,1556646821,Sat Apr 18 23:42:27 PDT 2009,NO_QUERY,natalie1717,getting caught up on all the sleep I missed this semester 
4,1556646898,Sat Apr 18 23:42:28 PDT 2009,NO_QUERY,camillajb,I'm going on HM The Movie at 1.15 p.m. 
4,1556646907,Sat Apr 18 23:42:29 PDT 2009,NO_QUERY,SophiiJones,Is watching Queen Of The Damned 
4,1556646941,Sat Apr 18 23:42:29 PDT 2009,NO_QUERY,tyler_h,"Up rather late w/ appellate brief. I'm pretty happy w/ the facts section, but worried about the jurisdictional statement. Am I to boring? "
4,1556646963,Sat Apr 18 23:42:30 PDT 2009,NO_QUERY,boybarbie,"@OopsImFlash -- hey, nice to meet you.  i'm brad."
4,1556646977,Sat Apr 18 23:42:30 PDT 2009,NO_QUERY,mKEC,yay getting a new ring. just like blairs lol 
4,1556647008,Sat Apr 18 23:42:30 PDT 2009,NO_QUERY,sbf717,Mastodon's Crack in the Skye was awesome.    Wasnt as hard as i thought a &quot;progessive metal&quot; album would be. And they are hot :0
4,1556647035,Sat Apr 18 23:42:31 PDT 2009,NO_QUERY,xxamandaa,"@ddlovato could i please get a shout out or anything, i'm a huge fan, i can't wait for your new cd "
4,1556647130,Sat Apr 18 23:42:32 PDT 2009,NO_QUERY,uchi10,playing pokemon on my dsi 
4,1556647179,Sat Apr 18 23:42:33 PDT 2009,NO_QUERY,paulscott56,"@ramereth Thanks  Things should improve in a couple months time now, so we will see... Faililng that, I will move country and try again ;)"
4,1556647274,Sat Apr 18 23:42:35 PDT 2009,NO_QUERY,qbert2,@stevericken http://knowyourmeme.com/system/photo/image/387/jagerbomb.jpg how many? 
4,1556647309,Sat Apr 18 23:42:37 PDT 2009,NO_QUERY,inkblue,Wow... almost 3am. I guess I am sleeping in tomorrow  
4,1556647408,Sat Apr 18 23:42:36 PDT 2009,NO_QUERY,Ivettenj,@ddlovato good luck demi. Hope you have lots of fun. God Bless. 
4,1556647479,Sat Apr 18 23:42:37 PDT 2009,NO_QUERY,christinajade,Hey! Give @pammiebegood a follow! She needs to get past THAT number with the 6's quickly! 
4,1556647543,Sat Apr 18 23:42:39 PDT 2009,NO_QUERY,Cheeks_,"@classimami ohh goodness.. I can only imagine that mess.. hides the listick!! or better yet, DONT! I need to see some funny pix "
4,1556647550,Sat Apr 18 23:42:39 PDT 2009,NO_QUERY,FDMonline,"AND BEFORE WE FORGET - GO BUY THE NEW DAY26 ALBUM &quot;FOREVER IN A DAY&quot;... 'cause guess what... uh huh, BIG BRO IS ON THERE TOO!!! Hehe. "
